method,scene,rep,FDP,power,rmse
copula_mvr,linear_sparse,95,0.5833333333333334,1.0,0.6486150675333163
copula_mvr,linear_sparse,96,0.5833333333333334,1.0,0.6278626598671078
copula_mvr,linear_sparse,97,0.5833333333333334,1.0,0.6016895353417461
copula_mvr,linear_sparse,98,0.5833333333333334,1.0,0.6018230727668322
copula_mvr,linear_sparse,99,0.5833333333333334,1.0,0.6373584191445264
copula_mvr,linear_medium,0,0.16666666666666666,1.0,1.1071052456341117
copula_mvr,linear_medium,1,0.16666666666666666,1.0,1.0579348696381632
copula_mvr,linear_medium,2,0.16666666666666666,1.0,1.0494246488478416
copula_mvr,linear_medium,3,0.16666666666666666,1.0,1.1233971966473648
copula_mvr,linear_medium,4,0.16666666666666666,1.0,1.1085514191749903
copula_mvr,linear_medium,5,0.16666666666666666,1.0,1.0943021204654173
copula_mvr,linear_medium,6,0.16666666666666666,1.0,1.1053397991800287
copula_mvr,linear_medium,7,0.16666666666666666,1.0,1.0610777783857692
copula_mvr,linear_medium,8,0.16666666666666666,1.0,1.0917016966582407
copula_mvr,linear_medium,9,0.16666666666666666,1.0,1.0320316591658583
copula_mvr,linear_medium,10,0.16666666666666666,1.0,1.0855672305204227
copula_mvr,linear_medium,11,0.16666666666666666,1.0,1.0497064797285283
copula_mvr,linear_medium,12,0.16666666666666666,1.0,1.0442379200823062
copula_mvr,linear_medium,13,0.16666666666666666,1.0,1.0164933713544115
copula_mvr,linear_medium,14,0.16666666666666666,1.0,1.0510222038953971
copula_mvr,linear_medium,15,0.16666666666666666,1.0,1.0209188504158504
copula_mvr,linear_medium,16,0.16666666666666666,1.0,1.136051420526059
copula_mvr,linear_medium,17,0.16666666666666666,1.0,1.0704634253238683
copula_mvr,linear_medium,18,0.16666666666666666,1.0,1.0619043291909547
copula_mvr,linear_medium,19,0.16666666666666666,1.0,1.0380565280001766
copula_mvr,linear_medium,20,0.16666666666666666,1.0,1.1559376166099544
copula_mvr,linear_medium,21,0.16666666666666666,1.0,1.062467647818411
copula_mvr,linear_medium,22,0.16666666666666666,1.0,1.0503101309954415
copula_mvr,linear_medium,23,0.16666666666666666,1.0,1.0499313884870756
copula_mvr,linear_medium,24,0.16666666666666666,1.0,1.0011288868138346
copula_mvr,linear_medium,25,0.16666666666666666,1.0,1.1272542401704095
copula_mvr,linear_medium,26,0.16666666666666666,1.0,1.0283796761191335
copula_mvr,linear_medium,27,0.16666666666666666,1.0,1.0063730012388465
copula_mvr,linear_medium,28,0.16666666666666666,1.0,1.0242374934746064
copula_mvr,linear_medium,29,0.16666666666666666,1.0,1.0426154051829406
copula_mvr,linear_medium,30,0.16666666666666666,1.0,1.1153127024844072
copula_mvr,linear_medium,31,0.16666666666666666,1.0,1.1189428075653651
copula_mvr,linear_medium,32,0.16666666666666666,1.0,1.0857931283921116
copula_mvr,linear_medium,33,0.16666666666666666,1.0,1.0433714652064152
copula_mvr,linear_medium,34,0.16666666666666666,1.0,1.0553899488577085
copula_mvr,linear_medium,35,0.16666666666666666,1.0,1.0720701114008386
copula_mvr,linear_medium,36,0.16666666666666666,1.0,1.0681670074220075
copula_mvr,linear_medium,37,0.16666666666666666,1.0,1.0791442660350443
copula_mvr,linear_medium,38,0.16666666666666666,1.0,1.0838138105452766
copula_mvr,linear_medium,39,0.16666666666666666,1.0,1.03220712183734
copula_mvr,linear_medium,40,0.16666666666666666,1.0,1.0675267115261118
copula_mvr,linear_medium,41,0.16666666666666666,1.0,1.0686233358263242
copula_mvr,linear_medium,42,0.16666666666666666,1.0,1.0388618638110083
copula_mvr,linear_medium,43,0.16666666666666666,1.0,1.0237561606982748
copula_mvr,linear_medium,44,0.16666666666666666,1.0,0.9605492341235964
copula_mvr,linear_medium,45,0.16666666666666666,1.0,1.104865127135694
copula_mvr,linear_medium,46,0.16666666666666666,1.0,1.1408255880220628
copula_mvr,linear_medium,47,0.16666666666666666,1.0,1.0748807726379788
copula_mvr,linear_medium,48,0.16666666666666666,1.0,1.13850225672339
copula_mvr,linear_medium,49,0.16666666666666666,1.0,1.0309101521230064
copula_mvr,linear_medium,50,0.16666666666666666,1.0,1.0378722138669052
copula_mvr,linear_medium,51,0.16666666666666666,1.0,1.0578779065147577
copula_mvr,linear_medium,52,0.16666666666666666,1.0,1.1157232010852007
copula_mvr,linear_medium,53,0.16666666666666666,1.0,1.092631727314304
copula_mvr,linear_medium,54,0.16666666666666666,1.0,1.0346600542011226
copula_mvr,linear_medium,55,0.16666666666666666,1.0,1.0899860281689822
copula_mvr,linear_medium,56,0.16666666666666666,1.0,1.1097441146590465
copula_mvr,linear_medium,57,0.16666666666666666,1.0,1.1116416781459075
copula_mvr,linear_medium,58,0.16666666666666666,1.0,1.0677793976382208
copula_mvr,linear_medium,59,0.16666666666666666,1.0,1.061277165110526
copula_mvr,linear_medium,60,0.16666666666666666,1.0,1.0498981032016825
copula_mvr,linear_medium,61,0.16666666666666666,1.0,1.0775708196521359
copula_mvr,linear_medium,62,0.16666666666666666,1.0,1.0985801075918549
copula_mvr,linear_medium,63,0.16666666666666666,1.0,1.0849375566613035
copula_mvr,linear_medium,64,0.16666666666666666,1.0,1.137823119335904
copula_mvr,linear_medium,65,0.16666666666666666,1.0,1.0559178206205084
copula_mvr,linear_medium,66,0.16666666666666666,1.0,1.1011537692280657
copula_mvr,linear_medium,67,0.16666666666666666,1.0,1.1323064778103205
copula_mvr,linear_medium,68,0.16666666666666666,1.0,1.0693804374617404
copula_mvr,linear_medium,69,0.16666666666666666,1.0,1.0833802625461375
copula_mvr,linear_medium,70,0.16666666666666666,1.0,1.0939172207772865
copula_mvr,linear_medium,71,0.16666666666666666,1.0,0.9833108884230913
copula_mvr,linear_medium,72,0.16666666666666666,1.0,1.1673937329048139
copula_mvr,linear_medium,73,0.16666666666666666,1.0,1.0716666540589916
copula_mvr,linear_medium,74,0.16666666666666666,1.0,1.035118754692097
copula_mvr,linear_medium,75,0.16666666666666666,1.0,1.1258146533923536
copula_mvr,linear_medium,76,0.16666666666666666,1.0,1.0992491851197073
copula_mvr,linear_medium,77,0.16666666666666666,1.0,1.0652078443898265
copula_mvr,linear_medium,78,0.16666666666666666,1.0,1.0927701261479141
copula_mvr,linear_medium,79,0.16666666666666666,1.0,1.1507434327473147
copula_mvr,linear_medium,80,0.16666666666666666,1.0,1.0409378686821538
copula_mvr,linear_medium,81,0.16666666666666666,1.0,1.1238707391990375
copula_mvr,linear_medium,82,0.16666666666666666,1.0,1.0904706527300947
copula_mvr,linear_medium,83,0.16666666666666666,1.0,1.0420223818250227
copula_mvr,linear_medium,84,0.16666666666666666,1.0,1.1023414965690237
copula_mvr,linear_medium,85,0.16666666666666666,1.0,1.1503164372249637
copula_mvr,linear_medium,86,0.16666666666666666,1.0,1.0764444498105736
copula_mvr,linear_medium,87,0.16666666666666666,1.0,1.0335432895231798
copula_mvr,linear_medium,88,0.16666666666666666,1.0,1.0484235099984522
copula_mvr,linear_medium,89,0.16666666666666666,1.0,1.1287461204788987
copula_mvr,linear_medium,90,0.16666666666666666,1.0,1.019717820734443
copula_mvr,linear_medium,91,0.16666666666666666,1.0,1.0311204936631573
copula_mvr,linear_medium,92,0.16666666666666666,1.0,1.1206189984792767
copula_mvr,linear_medium,93,0.16666666666666666,1.0,1.0270569381781305
copula_mvr,linear_medium,94,0.16666666666666666,1.0,1.0178999756327731
copula_mvr,linear_medium,95,0.16666666666666666,1.0,1.0548059203002111
copula_mvr,linear_medium,96,0.16666666666666666,1.0,1.0236859781039926
