method,scene,FDP_mean,FDP_sd,FDP_se,FDP_ci_low,FDP_ci_high,FDP_n,power_mean,power_sd,power_se,power_ci_low,power_ci_high,power_n,rmse_mean,rmse_sd,rmse_se,rmse_ci_low,rmse_ci_high,rmse_n
stability_selection,linear_weak,0.20833333333333337,0.06647700293478881,0.006647700293478881,0.19514285372246332,0.22152381294420342,100,0.9500000000000002,0.07977240352174655,0.007977240352174656,0.9341714244669561,0.9658285755330442,100,1.8851470339011174,0.06833904789655065,0.006833904789655065,1.8715870841724873,1.8987069836297474,100
stability_selection,nonlinear,0.5325,0.10386403851223881,0.010386403851223882,0.5118911214131865,0.5531088785868135,100,0.5609999999999999,0.1246368462146866,0.01246368462146866,0.5362693456958237,0.5857306543041761,100,1.2366144497100047,0.10636960458871422,0.010636960458871423,1.2155084124549844,1.257720486965025,100
stability_selection,nonlinear_panel,0.5383333333333333,0.11137594700503442,0.011137594700503442,0.5162339291295611,0.5604327375371055,100,0.5540000000000002,0.13365113640604132,0.013365113640604132,0.5274807149554736,0.5805192850445268,100,1.2094603169721223,0.10287337643382662,0.010287337643382662,1.189048007234229,1.2298726267100155,100
tabm,linear_dense,0.0016666666666666666,0.011725441178024142,0.0011725441178024143,-0.0006599152482686778,0.003993248581602011,100,0.7986666666666664,0.009380352942419326,0.0009380352942419326,0.7968054011347181,0.8005279321986147,100,1.0958645111301037,0.04826664484833162,0.004826664484833162,1.0862873616400528,1.1054416606201547,100
tabm,linear_medium,0.16916666666666672,0.018558458612801133,0.0018558458612801133,0.1654842658493275,0.17284906748400594,100,0.997,0.022270150335361366,0.0022270150335361367,0.9925811190191929,1.0014188809808071,100,1.0721193587724736,0.03891550486753758,0.003891550486753758,1.0643976783290048,1.0798410392159423,100
tabm,linear_sparse,0.5833333333333334,0.0,0.0,0.5833333333333334,0.5833333333333334,100,1.0,0.0,0.0,1.0,1.0,100,0.6364047448509723,0.03183362382927064,0.0031833623829270637,0.6300882632479734,0.6427212264539712,100
tabm,linear_weak,0.2275,0.06362483862287398,0.006362483862287398,0.21487545166674893,0.2401245483332511,100,0.927,0.07634980634744877,0.007634980634744877,0.9118505420000987,0.9421494579999014,100,1.8848428884981603,0.06845781731212167,0.006845781731212167,1.8712593723407607,1.89842640465556,100
tabm,nonlinear,0.2975,0.0814216760931797,0.00814216760931797,0.28134417300756637,0.3136558269924336,100,0.8430000000000001,0.09770601131181565,0.009770601131181566,0.8236130076090797,0.8623869923909204,100,1.1751595492425715,0.10498682500176802,0.010498682500176802,1.1543278854572132,1.1959912130279298,100
tabm,nonlinear_panel,0.3141666666666666,0.0810763381945638,0.008107633819456379,0.29807936220547615,0.33025397112785704,100,0.8229999999999998,0.09729160583347655,0.009729160583347655,0.8036952346465713,0.8423047653534284,100,1.1465950464574828,0.09797497607105646,0.009797497607105646,1.127154685623098,1.1660354072918675,100
tabm_budget_gate,linear_dense,0.016666666666666666,0.035533452725935076,0.0035533452725935075,0.009616058742223387,0.023717274591109946,100,0.7866666666666666,0.02842676218074809,0.0028426762180748092,0.781026180327112,0.7923071530062212,100,1.0928620056687957,0.04539561187626869,0.004539561187626869,1.0838545314078956,1.1018694799296957,100
tabm_budget_gate,linear_medium,0.19833333333333333,0.04553584200216616,0.004553584200216616,0.1892980343731414,0.20736863229352526,100,0.9620000000000002,0.05464301040259939,0.005464301040259939,0.9511576412477699,0.9728423587522305,100,1.0756393787979954,0.039929603024903663,0.003992960302490366,1.0677164792790927,1.083562278316898,100
tabm_budget_gate,linear_sparse,0.5833333333333334,0.0,0.0,0.5833333333333334,0.5833333333333334,100,1.0,0.0,0.0,1.0,1.0,100,0.6379803902147025,0.03322115739841342,0.0033221157398413423,0.6313885918488356,0.6445721885805695,100
tabm_budget_gate,linear_weak,0.24,0.06624445427098825,0.0066244454270988256,0.22685566308920632,0.25314433691079363,100,0.9120000000000001,0.07949334512518592,0.007949334512518592,0.8962267957070478,0.9277732042929525,100,1.8881489618891425,0.06844095297331655,0.0068440952973316555,1.874568791982436,1.901729131795849,100
tabm_budget_gate,nonlinear,0.315,0.07996562112037416,0.007996562112037416,0.2991330859035033,0.3308669140964967,100,0.8220000000000002,0.095958745344449,0.009595874534444899,0.8029597030842042,0.8410402969157962,100,1.1766912411648558,0.10491868893288396,0.010491868893288396,1.1558730970537863,1.1975093852759253,100
tabm_budget_gate,nonlinear_panel,0.3225,0.08594803718176716,0.008594803718176716,0.3054460447675039,0.3395539552324961,100,0.813,0.10313764461812061,0.01031376446181206,0.7925352537210046,0.8334647462789952,100,1.154645084221036,0.098655957204691,0.0098655957204691,1.1350696019557498,1.1742205664863223,100
vtfs,linear_dense,0.39416666666666655,0.11227608968188038,0.011227608968188038,0.37188865462707693,0.4164446787062562,100,0.4846666666666667,0.0898208717455043,0.00898208717455043,0.466844257034995,0.5024890762983384,100,1.1634711640817792,0.06512346588456047,0.006512346588456047,1.150549255586865,1.1763930725766933,100
vtfs,linear_medium,0.5325,0.11167470698225945,0.011167470698225945,0.5103413153351035,0.5546586846648964,100,0.561,0.13400964837871138,0.013400964837871138,0.5344095784021243,0.5875904215978758,100,1.1557060939208605,0.059557336838771076,0.005955733683877107,1.1438886261866403,1.1675235616550808,100
vtfs,linear_sparse,0.6766666666666667,0.07231928209967171,0.007231928209967172,0.662316952120356,0.6910163812129775,100,0.7759999999999999,0.1735662770392121,0.01735662770392121,0.7415606850888542,0.8104393149111456,100,0.7119915608011289,0.0709506266849321,0.00709506266849321,0.6979134171822883,0.7260697044199695,100
vtfs,linear_weak,0.54,0.09729795030501824,0.009729795030501824,0.5206939757657734,0.5593060242342267,100,0.552,0.1167575403660219,0.01167575403660219,0.528832770918928,0.5751672290810721,100,1.933919692696329,0.07231293875678436,0.007231293875678437,1.919571236806867,1.948268148585791,100
vtfs,nonlinear,0.5125,0.08653366510444666,0.008653366510444665,0.4953298434823581,0.5296701565176418,100,0.585,0.10384039812533598,0.010384039812533597,0.5643958121788297,0.6056041878211702,100,1.2234158524471253,0.11320034080893979,0.011320034080893979,1.2009544489321593,1.2458772559620912,100
vtfs,nonlinear_panel,0.5275,0.09771161099152405,0.009771161099152405,0.5081118965111395,0.5468881034888604,100,0.5670000000000001,0.11725393318982882,0.011725393318982882,0.5437342758133675,0.5902657241866326,100,1.196997340930396,0.10600738329008993,0.010600738329008994,1.1759631762394684,1.2180315056213236,100
vtfs_cardinality,linear_dense,0.31500000000000006,0.09065480710711035,0.009065480710711036,0.29701211950023226,0.33298788049976785,100,0.548,0.07252384568568827,0.007252384568568827,0.5336096956001858,0.5623903043998143,100,1.1337805239102159,0.05097176756877575,0.005097176756877575,1.1236666193843834,1.1438944284360484,100
