method,fraction,group,half,run,J,features
copula_mvr,0.8,18,,f80_18,0.8461538461538461,"[0, 21, 23, 20, 27, 16, 26, 2, 24, 17, 25, 22]"
copula_mvr,0.8,19,,f80_19,0.8461538461538461,"[0, 23, 24, 20, 21, 27, 16, 17, 26, 7, 2, 25]"
elastic_net,0.5,0,A,half_00_A,0.8461538461538461,"[21, 0, 20, 25, 23, 27, 2, 16, 1, 24, 26, 28]"
elastic_net,0.5,0,B,half_00_B,0.7142857142857143,"[23, 21, 0, 25, 16, 27, 7, 15, 26, 9, 2, 24]"
elastic_net,0.5,1,A,half_01_A,0.7142857142857143,"[21, 0, 25, 20, 27, 2, 15, 26, 28, 16, 1, 19]"
elastic_net,0.5,1,B,half_01_B,0.6,"[23, 0, 25, 20, 16, 27, 2, 24, 26, 9, 8, 7]"
elastic_net,0.5,2,A,half_02_A,0.7142857142857143,"[21, 0, 25, 27, 16, 20, 2, 15, 26, 9, 28, 24]"
elastic_net,0.5,2,B,half_02_B,0.8461538461538461,"[23, 0, 25, 20, 2, 24, 27, 16, 1, 26, 15, 7]"
elastic_net,0.5,3,A,half_03_A,0.8461538461538461,"[23, 0, 20, 25, 27, 21, 24, 16, 2, 15, 28, 1]"
elastic_net,0.5,3,B,half_03_B,0.7142857142857143,"[21, 0, 25, 23, 2, 16, 27, 20, 26, 15, 19, 3]"
elastic_net,0.5,4,A,half_04_A,0.7142857142857143,"[21, 0, 20, 25, 23, 27, 2, 16, 26, 19, 15, 28]"
elastic_net,0.5,4,B,half_04_B,1.0,"[23, 0, 21, 25, 20, 24, 27, 16, 1, 2, 15, 26]"
elastic_net,0.5,5,A,half_05_A,1.0,"[23, 0, 25, 27, 2, 20, 16, 21, 1, 15, 26, 24]"
elastic_net,0.5,5,B,half_05_B,0.7142857142857143,"[21, 0, 20, 25, 27, 24, 16, 2, 26, 7, 15, 28]"
elastic_net,0.5,6,A,half_06_A,0.7142857142857143,"[23, 0, 25, 27, 2, 20, 16, 15, 21, 1, 6, 17]"
elastic_net,0.5,6,B,half_06_B,0.7142857142857143,"[21, 0, 25, 20, 24, 27, 26, 16, 2, 7, 19, 15]"
elastic_net,0.5,7,A,half_07_A,0.6,"[21, 0, 20, 25, 27, 24, 16, 2, 9, 26, 12, 5]"
elastic_net,0.5,7,B,half_07_B,0.6,"[23, 0, 25, 2, 27, 20, 15, 16, 3, 26, 12, 28]"
elastic_net,0.5,8,A,half_08_A,0.7142857142857143,"[21, 0, 20, 25, 27, 23, 2, 16, 15, 10, 1, 28]"
elastic_net,0.5,8,B,half_08_B,0.8461538461538461,"[23, 0, 25, 21, 24, 16, 26, 20, 2, 27, 15, 9]"
elastic_net,0.5,9,A,half_09_A,0.8461538461538461,"[21, 0, 23, 25, 20, 27, 24, 26, 2, 16, 15, 7]"
elastic_net,0.5,9,B,half_09_B,0.8461538461538461,"[23, 0, 21, 25, 20, 27, 2, 16, 1, 9, 24, 15]"
elastic_net,0.5,10,A,half_10_A,0.7142857142857143,"[23, 0, 20, 21, 25, 16, 27, 15, 2, 26, 28, 19]"
elastic_net,0.5,10,B,half_10_B,1.0,"[21, 0, 23, 25, 27, 24, 2, 16, 1, 26, 20, 15]"
elastic_net,0.5,11,A,half_11_A,0.6,"[21, 0, 27, 25, 2, 16, 1, 15, 26, 17, 5, 10]"
elastic_net,0.5,11,B,half_11_B,0.7142857142857143,"[23, 0, 25, 20, 24, 16, 26, 2, 27, 15, 9, 11]"
elastic_net,0.5,12,A,half_12_A,0.7142857142857143,"[23, 0, 25, 16, 2, 20, 26, 27, 17, 24, 7, 15]"
elastic_net,0.5,12,B,half_12_B,0.7142857142857143,"[21, 0, 25, 20, 27, 2, 15, 24, 1, 16, 8, 11]"
elastic_net,0.5,13,A,half_13_A,0.8461538461538461,"[21, 0, 25, 20, 27, 26, 2, 24, 16, 23, 15, 28]"
elastic_net,0.5,13,B,half_13_B,0.7142857142857143,"[23, 0, 25, 27, 20, 21, 2, 16, 8, 11, 15, 24]"
elastic_net,0.5,14,A,half_14_A,0.7142857142857143,"[21, 0, 25, 2, 16, 27, 24, 26, 1, 5, 15, 17]"
elastic_net,0.5,14,B,half_14_B,0.6,"[23, 0, 20, 25, 27, 16, 28, 2, 15, 9, 7, 24]"
elastic_net,0.5,15,A,half_15_A,0.7142857142857143,"[23, 0, 25, 20, 27, 16, 9, 1, 2, 26, 15, 12]"
elastic_net,0.5,15,B,half_15_B,0.7142857142857143,"[21, 0, 25, 20, 2, 27, 16, 24, 26, 15, 28, 7]"
elastic_net,0.5,16,A,half_16_A,0.7142857142857143,"[21, 0, 20, 25, 27, 2, 16, 26, 15, 1, 5, 7]"
elastic_net,0.5,16,B,half_16_B,0.7142857142857143,"[23, 0, 25, 24, 20, 27, 2, 16, 15, 9, 28, 26]"
elastic_net,0.5,17,A,half_17_A,0.8461538461538461,"[21, 0, 25, 20, 2, 24, 26, 27, 16, 1, 15, 11]"
