candidate,comparator,scene,metric,mean,sd,se,ci_low,ci_high,n
tabm_budget_gate,tabm,linear_medium,rmse,0.0035200200255218984,0.008637952855622522,0.0008637952855622521,0.0018060627772759944,0.005233977273767803,100
ep_refresh,ep_regression,linear_medium,rmse,0.07220972560882298,0.03903388721349179,0.003903388721349179,0.06446455553959414,0.07995489567805182,100
ep_dispersion,ep_regression,linear_medium,rmse,0.06381570069808987,0.03852899821059978,0.003852899821059978,0.05617071156067789,0.07146068983550184,100
vtfs_cardinality,vtfs,linear_medium,rmse,-0.03469857420843039,0.04648341607061236,0.004648341607061237,-0.043921892421564405,-0.02547525599529637,100
vtfs_pairrank,vtfs_cardinality,linear_medium,rmse,-0.004706472028259423,0.022465673517652777,0.0022465673517652776,-0.009164149050338057,-0.0002487950061807898,100
random_k_search,vtfs,linear_medium,rmse,-0.023922347130993515,0.04813531720857917,0.004813531720857917,-0.03347343836814455,-0.014371255893842475,100
dl_jacobian,xgboost_shap,linear_medium,rmse,-0.001594742708845006,0.006497969718024331,0.0006497969718024331,-0.0028840808753344033,-0.0003054045423556088,100
dl_jacobian_lossrank,xgboost_shap,linear_medium,rmse,-0.0016940321495128884,0.006296426303248337,0.0006296426303248337,-0.002943379729995938,-0.00044468456902983853,100
dl_score_only,xgboost_shap,linear_medium,rmse,-0.001689717534078027,0.006823275984548376,0.0006823275984548376,-0.0030436035214143255,-0.0003358315467417285,100
tabm_budget_gate,xgboost_shap,linear_medium,rmse,0.0016042828352037576,0.008554256072110375,0.0008554256072110375,-9.306715537899099e-05,0.003301632825786506,100
ep_regression,xgboost_shap,linear_medium,rmse,-0.0024984066651633184,0.007076311066014198,0.0007076311066014198,-0.003902500302296703,-0.0010943130280299336,100
ep_refresh,xgboost_shap,linear_medium,rmse,0.06971131894365964,0.039284676548156885,0.003928467654815688,0.061916386829520796,0.0775062510577985,100
ep_dispersion,xgboost_shap,linear_medium,rmse,0.06131729403292654,0.03899220009144229,0.003899220009144229,0.053580395593120715,0.06905419247273235,100
vtfs_cardinality,xgboost_shap,linear_medium,rmse,0.0469724237496385,0.029446929204598276,0.0029446929204598278,0.04112951413987451,0.0528153333594025,100
vtfs_pairrank,xgboost_shap,linear_medium,rmse,0.04226595172137907,0.027749777139377024,0.0027749777139377024,0.03675979390132507,0.04777210954143307,100
random_k_search,xgboost_shap,linear_medium,rmse,0.057748650827075386,0.030515573135422875,0.0030515573135422875,0.051693699077044485,0.0638036025771063,100
ep_dispersion,ep_refresh,linear_medium,rmse,-0.00839402491073312,0.038227196175551176,0.0038227196175551178,-0.015979129976750772,-0.0008089198447154677,100
vtfs_pairrank,random_k_search,linear_medium,rmse,-0.0154826991056963,0.029090853750088897,0.00290908537500889,-0.02125495562017493,-0.009710442591217668,100
vtfs_cardinality,random_k_search,linear_medium,rmse,-0.010776227077436877,0.02434848529702124,0.002434848529702124,-0.015607494804427824,-0.005944959350445931,100
dl_jacobian,dl_score_only,linear_medium,rmse,9.49748252330207e-05,0.006069481021652696,0.0006069481021652696,-0.0011093418877693312,0.0012992915382353724,100
dl_jacobian,dl_jacobian_lossrank,linear_medium,rmse,9.928944066788237e-05,0.002391963080651053,0.0002391963080651053,-0.0003753279285331926,0.0005739068098689574,100
dl_jacobian,deep_lasso,linear_weak,FDP,-0.03583333333333334,0.07229502934668423,0.007229502934668423,-0.0501782356072842,-0.021488431059382487,100
dl_jacobian_lossrank,deep_lasso,linear_weak,FDP,-0.037500000000000006,0.07241136847949328,0.007241136847949328,-0.051867986481895216,-0.023132013518104795,100
