method,fraction,group,run,half,J,set,native_size
xgb_sko_quad_scale,0.5,9,half_09_A,A,0.4117647058823529,"[0, 21, 16, 27, 2, 24, 15, 26, 4, 25, 7, 22]",5.0
tabm_sko_ridge,0.5,9,half_09_A,A,0.5,"[0, 16, 15, 7, 27, 20, 22, 25, 26, 21, 9, 2]",5.0
tabm_sko_quad,0.5,9,half_09_A,A,0.4117647058823529,"[0, 15, 16, 27, 22, 7, 26, 20, 21, 28, 2, 1]",7.0
tabm_sko_scale,0.5,9,half_09_A,A,0.5,"[0, 16, 15, 27, 20, 7, 25, 26, 22, 21, 3, 23]",0.0
tabm_sko_quad_scale,0.5,9,half_09_A,A,0.5,"[0, 16, 15, 27, 26, 7, 20, 22, 3, 28, 17, 1]",0.0
xgb_sko_ridge,0.5,9,half_09_B,B,0.3333333333333333,"[0, 25, 17, 16, 23, 3, 6, 18, 2, 1, 15, 27]",0.0
xgb_sko_quad,0.5,9,half_09_B,B,0.3333333333333333,"[0, 23, 1, 3, 17, 27, 25, 6, 28, 16, 8, 26]",0.0
xgb_sko_scale,0.5,9,half_09_B,B,0.2631578947368421,"[0, 25, 7, 16, 3, 18, 22, 6, 23, 8, 9, 1]",0.0
xgb_sko_quad_scale,0.5,9,half_09_B,B,0.4117647058823529,"[0, 16, 25, 1, 7, 23, 15, 3, 8, 27, 18, 6]",13.0
tabm_sko_ridge,0.5,9,half_09_B,B,0.5,"[0, 16, 19, 20, 25, 28, 22, 1, 7, 27, 5, 9]",0.0
tabm_sko_quad,0.5,9,half_09_B,B,0.5,"[0, 16, 20, 22, 25, 28, 2, 1, 24, 18, 23, 8]",11.0
tabm_sko_scale,0.5,9,half_09_B,B,0.5,"[0, 16, 19, 15, 20, 28, 25, 9, 1, 7, 18, 2]",9.0
tabm_sko_quad_scale,0.5,9,half_09_B,B,0.5,"[0, 16, 20, 18, 25, 9, 2, 3, 1, 24, 8, 27]",0.0
xgb_sko_ridge,0.5,10,half_10_A,A,0.5,"[0, 28, 19, 25, 2, 20, 7, 27, 22, 23, 6, 26]",0.0
xgb_sko_quad,0.5,10,half_10_A,A,0.2631578947368421,"[0, 22, 19, 23, 28, 20, 8, 24, 2, 17, 7, 27]",0.0
xgb_sko_scale,0.5,10,half_10_A,A,0.3333333333333333,"[0, 28, 2, 25, 23, 15, 1, 8, 16, 20, 26, 3]",0.0
xgb_sko_quad_scale,0.5,10,half_10_A,A,0.3333333333333333,"[0, 16, 28, 19, 22, 23, 24, 8, 2, 25, 3, 26]",8.0
tabm_sko_ridge,0.5,10,half_10_A,A,0.4117647058823529,"[0, 16, 20, 22, 2, 17, 28, 23, 25, 5, 3, 8]",0.0
tabm_sko_quad,0.5,10,half_10_A,A,0.4117647058823529,"[0, 16, 2, 22, 20, 25, 9, 17, 8, 28, 18, 23]",0.0
tabm_sko_scale,0.5,10,half_10_A,A,0.3333333333333333,"[0, 16, 20, 2, 17, 28, 22, 23, 11, 18, 8, 7]",0.0
tabm_sko_quad_scale,0.5,10,half_10_A,A,0.4117647058823529,"[0, 16, 19, 2, 28, 20, 18, 27, 8, 22, 25, 17]",0.0
xgb_sko_ridge,0.5,10,half_10_B,B,0.4117647058823529,"[0, 16, 15, 25, 8, 1, 20, 9, 23, 26, 28, 10]",0.0
xgb_sko_quad,0.5,10,half_10_B,B,0.5,"[0, 15, 24, 17, 8, 16, 2, 27, 21, 7, 20, 26]",0.0
xgb_sko_scale,0.5,10,half_10_B,B,0.5,"[0, 15, 16, 8, 25, 17, 27, 2, 1, 24, 20, 28]",0.0
xgb_sko_quad_scale,0.5,10,half_10_B,B,0.5,"[0, 15, 24, 16, 2, 27, 21, 8, 7, 26, 17, 20]",0.0
tabm_sko_ridge,0.5,10,half_10_B,B,0.4117647058823529,"[0, 16, 25, 20, 27, 15, 17, 26, 8, 4, 10, 21]",0.0
tabm_sko_quad,0.5,10,half_10_B,B,0.4117647058823529,"[0, 16, 27, 20, 25, 26, 18, 17, 10, 21, 8, 29]",0.0
tabm_sko_scale,0.5,10,half_10_B,B,0.3333333333333333,"[16, 0, 15, 25, 20, 27, 26, 8, 21, 14, 13, 12]",0.0
tabm_sko_quad_scale,0.5,10,half_10_B,B,0.3333333333333333,"[0, 16, 15, 27, 20, 26, 25, 1, 8, 21, 17, 2]",6.0
xgb_sko_ridge,0.5,11,half_11_A,A,0.4117647058823529,"[0, 22, 28, 16, 23, 8, 27, 2, 7, 4, 18, 6]",0.0
xgb_sko_quad,0.5,11,half_11_A,A,0.2,"[0, 28, 27, 19, 23, 21, 17, 8, 18, 15, 6, 7]",7.0
xgb_sko_scale,0.5,11,half_11_A,A,0.3333333333333333,"[0, 22, 16, 28, 18, 7, 8, 23, 27, 4, 6, 19]",5.0
xgb_sko_quad_scale,0.5,11,half_11_A,A,0.4117647058823529,"[0, 28, 18, 27, 15, 21, 19, 16, 23, 7, 8, 17]",12.0
tabm_sko_ridge,0.5,11,half_11_A,A,0.5,"[0, 16, 19, 27, 20, 22, 9, 7, 25, 18, 2, 28]",0.0
tabm_sko_quad,0.5,11,half_11_A,A,0.3333333333333333,"[0, 16, 15, 27, 19, 20, 9, 18, 22, 2, 7, 3]",0.0
tabm_sko_scale,0.5,11,half_11_A,A,0.6,"[0, 16, 19, 27, 20, 9, 7, 22, 18, 26, 25, 2]",0.0
tabm_sko_quad_scale,0.5,11,half_11_A,A,0.5,"[0, 16, 19, 15, 27, 18, 9, 20, 7, 26, 3, 2]",5.0
xgb_sko_ridge,0.5,11,half_11_B,B,0.3333333333333333,"[0, 17, 16, 25, 21, 28, 22, 3, 18, 23, 5, 6]",0.0
xgb_sko_quad,0.5,11,half_11_B,B,0.4117647058823529,"[0, 16, 21, 17, 25, 15, 3, 28, 20, 6, 18, 1]",15.0
xgb_sko_scale,0.5,11,half_11_B,B,0.4117647058823529,"[0, 16, 25, 21, 15, 18, 22, 28, 6, 5, 3, 20]",0.0
