comparison,k,mean,sd,se,ci_low,ci_high,n
copula_mvr - stability_selection,14,0.060300424263272576,0.11750675941326537,0.021453700929992655,0.016422679187801652,0.10417816933874349,30
copula_mvr - tabm,14,-0.08120513702557049,0.1349831195884499,0.024644433160337157,-0.13160866223865017,-0.030801611812490796,30
copula_mvr - vtfs,14,0.07929937640867783,0.2813485537049503,0.05136698312855165,-0.025757900112766477,0.18435665293012216,30
copula_mvr - xgboost_shap,14,-0.08019779841761268,0.11499435110240076,0.02099500002815132,-0.12313739481176471,-0.037258202023460654,30
deep_lasso - elastic_net,14,0.21770439169819975,0.11524385237402565,0.021040552519683047,0.17467162999809405,0.26073715339830544,30
deep_lasso - shadow_trees,14,-0.16468409586056645,0.08063361393784983,0.014721616415641106,-0.19479318213394303,-0.13457500958718988,30
deep_lasso - stability_selection,14,0.21145740167411994,0.1204575597093326,0.02199244089160897,0.1664778096597499,0.25643699368849,30
deep_lasso - tabm,14,0.06995184038527692,0.11301725561304447,0.020634033428863937,0.027750503579807295,0.11215317719074655,30
deep_lasso - vtfs,14,0.2304563538195252,0.2979077020428635,0.05439025615446806,0.11921578968921642,0.341696917949834,30
deep_lasso - xgboost_shap,14,0.07095917899323471,0.10334969822721453,0.018868987010132357,0.03236776744309509,0.10955059054337435,30
elastic_net - shadow_trees,14,-0.38238848755876625,0.10228458289502036,0.018674524445536574,-0.42058217850750945,-0.34419479661002306,30
elastic_net - stability_selection,14,-0.006246990024079805,0.11695839372281412,0.02135358351051864,-0.049919971985548636,0.03742599193738903,30
elastic_net - tabm,14,-0.14775255131292286,0.1421698209007141,0.02595653930126351,-0.2008396348990495,-0.09466546772679624,30
elastic_net - vtfs,14,0.012751962121325445,0.29958551876443856,0.05469658217639008,-0.09911510906917484,0.12461903331182572,30
elastic_net - xgboost_shap,14,-0.14674521270496504,0.10807814119946577,0.019732278636058618,-0.187102253878254,-0.1063881715316761,30
shadow_trees - stability_selection,14,0.37614149753468645,0.11605262806537248,0.021188214083053877,0.33280673402817107,0.41947626104120184,30
shadow_trees - tabm,14,0.23463593624584336,0.13555006387449597,0.024747942551775853,0.18402071055715413,0.2852511619345326,30
shadow_trees - vtfs,14,0.3951404496800917,0.30136765013739614,0.05502195336085891,0.2826079196984199,0.5076729796617635,30
shadow_trees - xgboost_shap,14,0.23564327485380118,0.09724031563902748,0.017753571458139245,0.19933314425389367,0.27195340545370866,30
stability_selection - tabm,14,-0.14150556128884306,0.1619554032798074,0.029568875895398892,-0.20198070275465607,-0.08103041982303007,30
