method,scenario,rep,rmse_at_12,seconds,rule,FDP,power,discoveries,FDP_gt_0.2
xgboost_shap,linear_sparse,60,0.7544796937332158,0.6080488751176745,top8,0.375,1.0,8,True
xgboost_shap,linear_sparse,60,0.7544796937332158,0.6080488751176745,top10,0.5,1.0,10,True
xgboost_shap,linear_sparse,60,0.7544796937332158,0.6080488751176745,top12,0.5833333333333334,1.0,12,True
xgboost_shap,linear_sparse,60,0.7544796937332158,0.6080488751176745,top14,0.6428571428571429,1.0,14,True
xgboost_shap,linear_sparse,61,0.6438710811168595,0.6016569999046624,top4,0.0,0.8,4,False
xgboost_shap,linear_sparse,61,0.6438710811168595,0.6016569999046624,top8,0.375,1.0,8,True
xgboost_shap,linear_sparse,61,0.6438710811168595,0.6016569999046624,top10,0.5,1.0,10,True
xgboost_shap,linear_sparse,61,0.6438710811168595,0.6016569999046624,top12,0.5833333333333334,1.0,12,True
xgboost_shap,linear_sparse,61,0.6438710811168595,0.6016569999046624,top14,0.6428571428571429,1.0,14,True
xgboost_shap,linear_sparse,62,0.6327004872268871,0.6058906661346555,top4,0.0,0.8,4,False
xgboost_shap,linear_sparse,62,0.6327004872268871,0.6058906661346555,top8,0.375,1.0,8,True
xgboost_shap,linear_sparse,62,0.6327004872268871,0.6058906661346555,top10,0.5,1.0,10,True
xgboost_shap,linear_sparse,62,0.6327004872268871,0.6058906661346555,top12,0.5833333333333334,1.0,12,True
xgboost_shap,linear_sparse,62,0.6327004872268871,0.6058906661346555,top14,0.6428571428571429,1.0,14,True
xgboost_shap,linear_sparse,63,0.7210680044845998,0.6072935000993311,top4,0.0,0.8,4,False
xgboost_shap,linear_sparse,63,0.7210680044845998,0.6072935000993311,top8,0.375,1.0,8,True
xgboost_shap,linear_sparse,63,0.7210680044845998,0.6072935000993311,top10,0.5,1.0,10,True
xgboost_shap,linear_sparse,63,0.7210680044845998,0.6072935000993311,top12,0.5833333333333334,1.0,12,True
xgboost_shap,linear_sparse,63,0.7210680044845998,0.6072935000993311,top14,0.6428571428571429,1.0,14,True
xgboost_shap,linear_sparse,64,0.6732954845214536,0.6057397078257054,top4,0.0,0.8,4,False
xgboost_shap,linear_sparse,64,0.6732954845214536,0.6057397078257054,top8,0.375,1.0,8,True
xgboost_shap,linear_sparse,64,0.6732954845214536,0.6057397078257054,top10,0.5,1.0,10,True
xgboost_shap,linear_sparse,64,0.6732954845214536,0.6057397078257054,top12,0.5833333333333334,1.0,12,True
xgboost_shap,linear_sparse,64,0.6732954845214536,0.6057397078257054,top14,0.6428571428571429,1.0,14,True
xgboost_shap,linear_sparse,65,0.6109239802387603,0.5781917499843985,top4,0.0,0.8,4,False
xgboost_shap,linear_sparse,65,0.6109239802387603,0.5781917499843985,top8,0.375,1.0,8,True
xgboost_shap,linear_sparse,65,0.6109239802387603,0.5781917499843985,top10,0.5,1.0,10,True
xgboost_shap,linear_sparse,65,0.6109239802387603,0.5781917499843985,top12,0.5833333333333334,1.0,12,True
xgboost_shap,linear_sparse,65,0.6109239802387603,0.5781917499843985,top14,0.6428571428571429,1.0,14,True
xgboost_shap,linear_sparse,66,0.6421764733124617,0.5899839999619871,top4,0.0,0.8,4,False
xgboost_shap,linear_sparse,66,0.6421764733124617,0.5899839999619871,top8,0.375,1.0,8,True
xgboost_shap,linear_sparse,66,0.6421764733124617,0.5899839999619871,top10,0.5,1.0,10,True
xgboost_shap,linear_sparse,66,0.6421764733124617,0.5899839999619871,top12,0.5833333333333334,1.0,12,True
xgboost_shap,linear_sparse,66,0.6421764733124617,0.5899839999619871,top14,0.6428571428571429,1.0,14,True
xgboost_shap,linear_sparse,67,0.6350345061793901,0.6016933750361204,top4,0.0,0.8,4,False
xgboost_shap,linear_sparse,67,0.6350345061793901,0.6016933750361204,top8,0.375,1.0,8,True
xgboost_shap,linear_sparse,67,0.6350345061793901,0.6016933750361204,top10,0.5,1.0,10,True
xgboost_shap,linear_sparse,67,0.6350345061793901,0.6016933750361204,top12,0.5833333333333334,1.0,12,True
xgboost_shap,linear_sparse,67,0.6350345061793901,0.6016933750361204,top14,0.6428571428571429,1.0,14,True
xgboost_shap,linear_sparse,68,0.6339949436432021,0.598824999993667,top4,0.0,0.8,4,False
xgboost_shap,linear_sparse,68,0.6339949436432021,0.598824999993667,top8,0.375,1.0,8,True
xgboost_shap,linear_sparse,68,0.6339949436432021,0.598824999993667,top10,0.5,1.0,10,True
xgboost_shap,linear_sparse,68,0.6339949436432021,0.598824999993667,top12,0.5833333333333334,1.0,12,True
xgboost_shap,linear_sparse,68,0.6339949436432021,0.598824999993667,top14,0.6428571428571429,1.0,14,True
xgboost_shap,linear_sparse,69,0.669485219246289,0.6117931248154491,top4,0.0,0.8,4,False
xgboost_shap,linear_sparse,69,0.669485219246289,0.6117931248154491,top8,0.375,1.0,8,True
xgboost_shap,linear_sparse,69,0.669485219246289,0.6117931248154491,top10,0.5,1.0,10,True
xgboost_shap,linear_sparse,69,0.669485219246289,0.6117931248154491,top12,0.5833333333333334,1.0,12,True
xgboost_shap,linear_sparse,69,0.669485219246289,0.6117931248154491,top14,0.6428571428571429,1.0,14,True
xgboost_shap,linear_sparse,70,0.7267780253050431,0.5800182078965008,top4,0.0,0.8,4,False
xgboost_shap,linear_sparse,70,0.7267780253050431,0.5800182078965008,top8,0.375,1.0,8,True
xgboost_shap,linear_sparse,70,0.7267780253050431,0.5800182078965008,top10,0.5,1.0,10,True
xgboost_shap,linear_sparse,70,0.7267780253050431,0.5800182078965008,top12,0.5833333333333334,1.0,12,True
xgboost_shap,linear_sparse,70,0.7267780253050431,0.5800182078965008,top14,0.6428571428571429,1.0,14,True
xgboost_shap,linear_sparse,71,0.6454626920171126,0.6002739169634879,top4,0.0,0.8,4,False
xgboost_shap,linear_sparse,71,0.6454626920171126,0.6002739169634879,top8,0.375,1.0,8,True
xgboost_shap,linear_sparse,71,0.6454626920171126,0.6002739169634879,top10,0.5,1.0,10,True
xgboost_shap,linear_sparse,71,0.6454626920171126,0.6002739169634879,top12,0.5833333333333334,1.0,12,True
xgboost_shap,linear_sparse,71,0.6454626920171126,0.6002739169634879,top14,0.6428571428571429,1.0,14,True
xgboost_shap,linear_sparse,72,0.652589138144475,0.6020754589699209,top4,0.0,0.8,4,False
xgboost_shap,linear_sparse,72,0.652589138144475,0.6020754589699209,top8,0.375,1.0,8,True
xgboost_shap,linear_sparse,72,0.652589138144475,0.6020754589699209,top10,0.5,1.0,10,True
xgboost_shap,linear_sparse,72,0.652589138144475,0.6020754589699209,top12,0.5833333333333334,1.0,12,True
xgboost_shap,linear_sparse,72,0.652589138144475,0.6020754589699209,top14,0.6428571428571429,1.0,14,True
