method,fraction,k,metric,mean,sd,se,ci_low,ci_high,n,nogueira
elastic_net,0.8,8,reference_jaccard,0.9333333333333333,0.1044805213292505,0.02336255480168208,0.8844349441609815,0.9822317225056852,20,0.9131006864988558
elastic_net,0.8,10,reference_jaccard,0.8742424242424243,0.1003955253717426,0.022449121936802128,0.8272558720283532,0.9212289764564954,20,0.8632581453634085
elastic_net,0.8,12,reference_jaccard,0.9087912087912088,0.08942452616545052,0.019995931936165594,0.8669392422585038,0.9506431753239137,20,0.8747691597414589
elastic_net,0.8,14,reference_jaccard,0.8825000000000001,0.08101602613821583,0.018115734171195035,0.8445833326164232,0.920416667383577,20,0.8025652366209641
shadow_trees,0.5,4,reference_jaccard,0.9466666666666667,0.08995528902176071,0.016423513654705055,0.9130768097120927,0.9802565236212406,30,0.930592174094999
shadow_trees,0.5,8,reference_jaccard,1.0,0.0,0.0,1.0,1.0,30,1.0
shadow_trees,0.5,10,reference_jaccard,0.9333333333333333,0.04734822361474431,0.008644563377198084,0.915653216070993,0.9510134505956737,30,0.9216034436373419
shadow_trees,0.5,12,reference_jaccard,0.9388278388278388,0.04158870806238356,0.007593024514421481,0.9232983600175038,0.9543573176381739,30,0.9210328080087223
shadow_trees,0.5,14,reference_jaccard,0.8902287581699347,0.041052514196524836,0.007495129355912574,0.8748994974396034,0.9055580189002661,30,0.8918245264207377
shadow_trees,0.7,4,reference_jaccard,0.9400000000000001,0.1465390194130093,0.03276712087636501,0.8714176278120649,1.0085823721879352,20,0.9229532163742691
shadow_trees,0.7,8,reference_jaccard,1.0,0.0,0.0,1.0,1.0,20,1.0
shadow_trees,0.7,10,reference_jaccard,0.9545454545454544,0.08077484696714894,0.018061804869068776,0.9167416624884651,0.9923492466024436,20,0.9417293233082706
shadow_trees,0.7,12,reference_jaccard,0.9615384615384615,0.06834794743374144,0.015283065658442814,0.9295506374902398,0.9935262855866831,20,0.9377423822714681
shadow_trees,0.7,14,reference_jaccard,0.9608333333333334,0.0736029731792046,0.01645812513747953,0.9263860815301275,0.9952805851365394,20,0.9307607253427687
shadow_trees,0.8,4,reference_jaccard,0.9600000000000002,0.12311740225021851,0.027529888064467416,0.9023792820659029,1.0176207179340975,20,0.944103313840156
shadow_trees,0.8,8,reference_jaccard,1.0,0.0,0.0,1.0,1.0,20,1.0
shadow_trees,0.8,10,reference_jaccard,0.9818181818181818,0.05596245556828112,0.01251358548384882,0.9556269463935921,1.0080094172427714,20,0.9720300751879699
shadow_trees,0.8,12,reference_jaccard,0.9923076923076923,0.034401045807689073,0.007692307692307692,0.9762075072737826,1.008407877341602,20,0.9864035087719298
shadow_trees,0.8,14,reference_jaccard,0.9800000000000001,0.048846339804336426,0.010922373625455003,0.9571392092706884,1.002860790729312,20,0.9636665192392747
stability_selection,0.5,4,reference_jaccard,0.5955555555555557,0.08384136331064752,0.015307268645742554,0.5642486759811945,0.6268624351299169,30,0.6975570202971333
stability_selection,0.5,8,reference_jaccard,0.628013468013468,0.07282731099792766,0.013296387012003016,0.6008193031632512,0.6552076328636849,30,0.5850865880619012
stability_selection,0.5,10,reference_jaccard,0.6060328560328561,0.06985589951830691,0.012753883980330321,0.579948234463963,0.6321174776017491,30,0.5290368576809255
stability_selection,0.5,12,reference_jaccard,0.5827440206851972,0.057117972909314266,0.0104282674004668,0.5614158190816763,0.604072222288718,30,0.47880116959064334
stability_selection,0.5,14,reference_jaccard,0.6029125100332531,0.05551350208529607,0.010135332446075578,0.58218342768167,0.6236415923848362,30,0.4585339220433936
stability_selection,0.7,4,reference_jaccard,0.6266666666666667,0.14084124860970781,0.03149306059272544,0.5607509332991554,0.692582400034178,20,0.722027290448343
