method,scene,rep,rule,theory_regime,nominal_invalid_control,FDP,power,size,false_count,rmse
tabm_orbit,global_null,4,native10,True,False,0.0,,0,0,
tabm_orbit_student,global_null,4,top12,True,False,1.0,,12,12,1.0066749928762446
tabm_orbit_student,global_null,4,top8,True,False,1.0,,8,8,
tabm_orbit_student,global_null,4,native,True,False,0.0,,0,0,0.9992182074674918
tabm_orbit_student,global_null,4,native10,True,False,0.0,,0,0,
lasso_pair_q20,global_null,5,top12,True,False,1.0,,12,12,0.9996518549989554
lasso_pair_q20,global_null,5,top8,True,False,1.0,,8,8,
lasso_pair_q20,global_null,5,native,True,False,0.0,,0,0,0.9815703352982255
lasso_pair_q20,global_null,5,native10,True,False,0.0,,0,0,
linear_orbit_student,global_null,5,top12,True,False,1.0,,12,12,1.003592610370164
linear_orbit_student,global_null,5,top8,True,False,1.0,,8,8,
linear_orbit_student,global_null,5,native,True,False,0.0,,0,0,0.9815703352982255
linear_orbit_student,global_null,5,native10,True,False,0.0,,0,0,
xgb_shap,global_null,5,top12,True,False,1.0,,12,12,1.0155812215218056
xgb_shap,global_null,5,top8,True,False,1.0,,8,8,
xgb_pfi,global_null,5,top12,True,False,1.0,,12,12,0.9915234558771846
xgb_pfi,global_null,5,top8,True,False,1.0,,8,8,
tabm_pfi,global_null,5,top12,True,False,1.0,,12,12,1.004170364504501
tabm_pfi,global_null,5,top8,True,False,1.0,,8,8,
deep_lasso,global_null,5,top12,True,False,1.0,,12,12,0.9968884886710859
deep_lasso,global_null,5,top8,True,False,1.0,,8,8,
xgb_naive,global_null,5,top12,True,True,1.0,,12,12,1.008514951966085
xgb_naive,global_null,5,top8,True,True,1.0,,8,8,
xgb_naive,global_null,5,native,True,True,0.0,,0,0,0.9815703352982255
xgb_naive,global_null,5,native10,True,True,0.0,,0,0,
xgb_midpoint,global_null,5,top12,True,False,1.0,,12,12,1.0015756208050561
xgb_midpoint,global_null,5,top8,True,False,1.0,,8,8,
xgb_midpoint,global_null,5,native,True,False,0.0,,0,0,0.9815703352982255
xgb_midpoint,global_null,5,native10,True,False,0.0,,0,0,
xgb_orbit,global_null,5,top12,True,False,1.0,,12,12,1.0076521307619215
xgb_orbit,global_null,5,top8,True,False,1.0,,8,8,
xgb_orbit,global_null,5,native,True,False,0.0,,0,0,0.9815703352982255
xgb_orbit,global_null,5,native10,True,False,0.0,,0,0,
xgb_orbit_student,global_null,5,top12,True,False,1.0,,12,12,0.9996773892253912
xgb_orbit_student,global_null,5,top8,True,False,1.0,,8,8,
xgb_orbit_student,global_null,5,native,True,False,0.0,,0,0,0.9815703352982255
xgb_orbit_student,global_null,5,native10,True,False,0.0,,0,0,
tabm_naive,global_null,5,top12,True,True,1.0,,12,12,1.0052439140567604
tabm_naive,global_null,5,top8,True,True,1.0,,8,8,
tabm_naive,global_null,5,native,True,True,0.0,,0,0,0.9815703352982255
tabm_naive,global_null,5,native10,True,True,0.0,,0,0,
tabm_midpoint,global_null,5,top12,True,False,1.0,,12,12,0.990163882123611
tabm_midpoint,global_null,5,top8,True,False,1.0,,8,8,
tabm_midpoint,global_null,5,native,True,False,0.0,,0,0,0.9815703352982255
tabm_midpoint,global_null,5,native10,True,False,0.0,,0,0,
tabm_orbit,global_null,5,top12,True,False,1.0,,12,12,0.990163882123611
tabm_orbit,global_null,5,top8,True,False,1.0,,8,8,
tabm_orbit,global_null,5,native,True,False,0.0,,0,0,0.9815703352982255
tabm_orbit,global_null,5,native10,True,False,0.0,,0,0,
tabm_orbit_student,global_null,5,top12,True,False,1.0,,12,12,0.990163882123611
tabm_orbit_student,global_null,5,top8,True,False,1.0,,8,8,
tabm_orbit_student,global_null,5,native,True,False,0.0,,0,0,0.9815703352982255
tabm_orbit_student,global_null,5,native10,True,False,0.0,,0,0,
lasso_pair_q20,global_null,6,top12,True,False,1.0,,12,12,1.0172926245319134
lasso_pair_q20,global_null,6,top8,True,False,1.0,,8,8,
lasso_pair_q20,global_null,6,native,True,False,0.0,,0,0,1.001036077442333
lasso_pair_q20,global_null,6,native10,True,False,0.0,,0,0,
linear_orbit_student,global_null,6,top12,True,False,1.0,,12,12,1.0224995278197213
