scene,rule,metric,candidate,comparator,mean,sd,se,ci_low,ci_high,n,p_two_sided,holm_p_within_scene_rule_metric
high_correlation,top12,rmse,xgb_orbit_student,xgb_orbit,0.012948772131883293,0.01779680486356902,0.001779680486356902,0.009417499942584711,0.016480044321181875,100,8.234292733722803e-11,5.764004913605962e-10
high_correlation,top12,rmse,xgb_orbit_student,xgb_shap,0.019207698143591686,0.020307184030120877,0.0020307184030120876,0.01517831226459446,0.02323708402258891,100,1.6605248890096738e-15,1.660524889009674e-14
high_correlation,top8,FDP,tabm_orbit_student,lasso_pair_q20,0.09375,0.1071541299986033,0.01071541299986033,0.07248829588326063,0.11501170411673937,100,5.813062793468838e-14,2.325225117387535e-13
high_correlation,top8,FDP,tabm_orbit_student,linear_orbit_student,0.08875,0.10850074477238217,0.010850074477238217,0.06722109829713221,0.11027890170286778,100,9.87910465942111e-13,2.9637313978263333e-12
high_correlation,top8,FDP,tabm_orbit_student,tabm_midpoint,0.12375,0.11023247931054392,0.011023247931054391,0.10187748459451887,0.14562251540548113,100,2.364335918761566e-19,1.4186015512569397e-18
high_correlation,top8,FDP,tabm_orbit_student,tabm_orbit,0.12625,0.11165507628677732,0.011165507628677731,0.10409521049097814,0.14840478950902186,100,1.5812642464966303e-19,1.1068849725476411e-18
high_correlation,top8,FDP,tabm_orbit_student,xgb_orbit_student,-0.1175,0.1536796155722165,0.015367961557221648,-0.14799336983197298,-0.08700663016802702,100,1.3661014204174522e-11,2.7322028408349044e-11
high_correlation,top8,FDP,tabm_orbit_student,xgb_shap,0.06875,0.12980049765667,0.012980049765667,0.042994765223537235,0.09450523477646278,100,7.136927192239324e-07,7.136927192239324e-07
high_correlation,top8,FDP,xgb_orbit_student,lasso_pair_q20,0.21125,0.16350698097721342,0.016350698097721342,0.17880666766550052,0.24369333233449947,100,5.754538853979615e-23,5.754538853979615e-22
high_correlation,top8,FDP,xgb_orbit_student,linear_orbit_student,0.20625,0.16512067059755378,0.01651206705975538,0.17348647663558522,0.23901352336441475,100,4.628148671919475e-22,4.165333804727527e-21
high_correlation,top8,FDP,xgb_orbit_student,xgb_orbit,0.1725,0.1396469212917443,0.01396469212917443,0.1447910211546922,0.20020897884530778,100,9.094997709190952e-22,7.275998167352761e-21
high_correlation,top8,FDP,xgb_orbit_student,xgb_shap,0.18625,0.17987000777497536,0.017987000777497535,0.15055988815048954,0.22194011184951046,100,1.8439782219283418e-17,9.219891109641709e-17
high_correlation,top8,power,tabm_orbit_student,lasso_pair_q20,-0.07500000000000001,0.08572330399888266,0.008572330399888266,-0.09200936329339152,-0.057990636706608506,100,5.813062793468838e-14,2.325225117387535e-13
high_correlation,top8,power,tabm_orbit_student,linear_orbit_student,-0.07100000000000001,0.08680059581790574,0.008680059581790574,-0.08822312136229424,-0.053776878637705784,100,9.87910465942111e-13,2.9637313978263333e-12
high_correlation,top8,power,tabm_orbit_student,tabm_midpoint,-0.09900000000000003,0.08818598344843517,0.008818598344843517,-0.11649801232438495,-0.08150198767561512,100,2.364335918761617e-19,1.4186015512569703e-18
high_correlation,top8,power,tabm_orbit_student,tabm_orbit,-0.10100000000000005,0.08932406102942188,0.008932406102942188,-0.11872383160721756,-0.08327616839278254,100,1.5812642464966193e-19,1.1068849725476334e-18
high_correlation,top8,power,tabm_orbit_student,xgb_orbit_student,0.094,0.1229436924577732,0.01229436924577732,0.06960530413442162,0.11839469586557838,100,1.366101420417462e-11,2.732202840834924e-11
high_correlation,top8,power,tabm_orbit_student,xgb_shap,-0.055,0.103840398125336,0.0103840398125336,-0.07560418782117022,-0.03439581217882978,100,7.136927192239324e-07,7.136927192239324e-07
