method,fraction,group,run,native_size
xgb_sko_ridge,0.5,21,half_21_B,0.0
xgb_sko_quad,0.5,21,half_21_B,0.0
xgb_sko_scale,0.5,21,half_21_B,0.0
xgb_sko_quad_scale,0.5,21,half_21_B,0.0
tabm_sko_ridge,0.5,21,half_21_B,5.0
tabm_sko_quad,0.5,21,half_21_B,0.0
tabm_sko_scale,0.5,21,half_21_B,6.0
tabm_sko_quad_scale,0.5,21,half_21_B,8.0
xgb_sko_ridge,0.5,22,half_22_A,15.0
xgb_sko_quad,0.5,22,half_22_A,26.0
xgb_sko_scale,0.5,22,half_22_A,16.0
xgb_sko_quad_scale,0.5,22,half_22_A,17.0
tabm_sko_ridge,0.5,22,half_22_A,0.0
tabm_sko_quad,0.5,22,half_22_A,0.0
tabm_sko_scale,0.5,22,half_22_A,8.0
tabm_sko_quad_scale,0.5,22,half_22_A,15.0
xgb_sko_ridge,0.5,22,half_22_B,0.0
xgb_sko_quad,0.5,22,half_22_B,0.0
xgb_sko_scale,0.5,22,half_22_B,0.0
xgb_sko_quad_scale,0.5,22,half_22_B,0.0
tabm_sko_ridge,0.5,22,half_22_B,0.0
tabm_sko_quad,0.5,22,half_22_B,0.0
tabm_sko_scale,0.5,22,half_22_B,0.0
tabm_sko_quad_scale,0.5,22,half_22_B,0.0
xgb_sko_ridge,0.5,23,half_23_A,0.0
xgb_sko_quad,0.5,23,half_23_A,0.0
xgb_sko_scale,0.5,23,half_23_A,0.0
xgb_sko_quad_scale,0.5,23,half_23_A,0.0
tabm_sko_ridge,0.5,23,half_23_A,0.0
tabm_sko_quad,0.5,23,half_23_A,0.0
tabm_sko_scale,0.5,23,half_23_A,0.0
tabm_sko_quad_scale,0.5,23,half_23_A,0.0
xgb_sko_ridge,0.5,23,half_23_B,0.0
xgb_sko_quad,0.5,23,half_23_B,0.0
xgb_sko_scale,0.5,23,half_23_B,0.0
xgb_sko_quad_scale,0.5,23,half_23_B,0.0
tabm_sko_ridge,0.5,23,half_23_B,0.0
tabm_sko_quad,0.5,23,half_23_B,0.0
tabm_sko_scale,0.5,23,half_23_B,0.0
tabm_sko_quad_scale,0.5,23,half_23_B,0.0
xgb_sko_ridge,0.5,24,half_24_A,6.0
xgb_sko_quad,0.5,24,half_24_A,0.0
xgb_sko_scale,0.5,24,half_24_A,0.0
xgb_sko_quad_scale,0.5,24,half_24_A,0.0
tabm_sko_ridge,0.5,24,half_24_A,6.0
tabm_sko_quad,0.5,24,half_24_A,6.0
tabm_sko_scale,0.5,24,half_24_A,0.0
tabm_sko_quad_scale,0.5,24,half_24_A,10.0
xgb_sko_ridge,0.5,24,half_24_B,0.0
xgb_sko_quad,0.5,24,half_24_B,0.0
xgb_sko_scale,0.5,24,half_24_B,0.0
