method,scene,rep,rule,FDP,power,size,false_count,rmse,theory_regime,nominal_invalid_control
xgb_sko_ridge,linear_sparse,58,top12,0.5833333333333334,1.0,12,7,0.6875546628318382,,
xgb_sko_ridge,linear_sparse,58,top8,0.375,1.0,8,3,,,
xgb_sko_ridge,linear_sparse,58,native,0.0,1.0,5,0,0.6848916504736038,,
xgb_sko_ridge,linear_sparse,58,native10,0.0,0.0,0,0,,,
xgb_sko_quad,linear_sparse,58,top12,0.5833333333333334,1.0,12,7,0.6885394035988613,,
xgb_sko_quad,linear_sparse,58,top8,0.375,1.0,8,3,,,
xgb_sko_quad,linear_sparse,58,native,0.0,1.0,5,0,0.6848916504736038,,
xgb_sko_quad,linear_sparse,58,native10,0.0,0.0,0,0,,,
xgb_sko_scale,linear_sparse,58,top12,0.5833333333333334,1.0,12,7,0.6813465243803177,,
xgb_sko_scale,linear_sparse,58,top8,0.375,1.0,8,3,,,
xgb_sko_scale,linear_sparse,58,native,0.0,1.0,5,0,0.6848916504736038,,
xgb_sko_scale,linear_sparse,58,native10,0.0,0.0,0,0,,,
xgb_sko_quad_scale,linear_sparse,58,top12,0.5833333333333334,1.0,12,7,0.6912406254799136,,
xgb_sko_quad_scale,linear_sparse,58,top8,0.375,1.0,8,3,,,
xgb_sko_quad_scale,linear_sparse,58,native,0.0,1.0,5,0,0.6848916504736038,,
xgb_sko_quad_scale,linear_sparse,58,native10,0.0,0.0,0,0,,,
tabm_sko_ridge,linear_sparse,58,top12,0.5833333333333334,1.0,12,7,0.687050194165654,,
tabm_sko_ridge,linear_sparse,58,top8,0.375,1.0,8,3,,,
tabm_sko_ridge,linear_sparse,58,native,0.16666666666666666,1.0,6,1,0.6740964628029131,,
tabm_sko_ridge,linear_sparse,58,native10,0.0,0.0,0,0,,,
tabm_sko_quad,linear_sparse,58,top12,0.5833333333333334,1.0,12,7,0.6879628267439898,,
tabm_sko_quad,linear_sparse,58,top8,0.375,1.0,8,3,,,
tabm_sko_quad,linear_sparse,58,native,0.2857142857142857,1.0,7,2,0.6824888211242233,,
tabm_sko_quad,linear_sparse,58,native10,0.0,0.0,0,0,,,
tabm_sko_scale,linear_sparse,58,top12,0.5833333333333334,1.0,12,7,0.6864324431473219,,
tabm_sko_scale,linear_sparse,58,top8,0.375,1.0,8,3,,,
tabm_sko_scale,linear_sparse,58,native,0.0,1.0,5,0,0.6848916504736038,,
tabm_sko_scale,linear_sparse,58,native10,0.0,0.0,0,0,,,
tabm_sko_quad_scale,linear_sparse,58,top12,0.5833333333333334,1.0,12,7,0.6858383605567718,,
tabm_sko_quad_scale,linear_sparse,58,top8,0.375,1.0,8,3,,,
tabm_sko_quad_scale,linear_sparse,58,native,0.16666666666666666,1.0,6,1,0.6740964628029131,,
