method,run,group,fraction,half,J,set
tabm_naive,half_06_B,6,0.5,B,0.2631578947368421,"[19, 16, 15, 0, 7, 27, 18, 1, 25, 21, 23, 24]"
tabm_midpoint,half_06_B,6,0.5,B,0.3333333333333333,"[19, 16, 15, 0, 27, 7, 18, 17, 1, 23, 9, 2]"
tabm_orbit,half_06_B,6,0.5,B,0.3333333333333333,"[19, 16, 15, 0, 7, 27, 18, 1, 17, 23, 28, 21]"
tabm_orbit_student,half_06_B,6,0.5,B,0.4117647058823529,"[0, 19, 16, 15, 17, 27, 23, 21, 18, 1, 7, 24]"
lasso_pair_q20,half_07_A,7,0.5,A,0.7142857142857143,"[20, 0, 25, 27, 23, 26, 16, 2, 19, 22, 6, 14]"
linear_orbit_student,half_07_A,7,0.5,A,0.7142857142857143,"[0, 19, 22, 21, 20, 12, 2, 25, 16, 27, 17, 26]"
xgb_shap,half_07_A,7,0.5,A,0.6,"[21, 0, 16, 23, 19, 20, 24, 15, 18, 27, 17, 6]"
xgb_pfi,half_07_A,7,0.5,A,0.8461538461538461,"[21, 0, 16, 19, 23, 20, 15, 18, 24, 27, 2, 17]"
tabm_pfi,half_07_A,7,0.5,A,0.7142857142857143,"[0, 23, 16, 21, 20, 19, 15, 2, 25, 27, 3, 24]"
deep_lasso,half_07_A,7,0.5,A,0.6,"[20, 21, 0, 23, 25, 19, 16, 27, 15, 2, 3, 9]"
xgb_naive,half_07_A,7,0.5,A,0.6,"[16, 0, 19, 18, 15, 17, 2, 28, 7, 21, 22, 8]"
xgb_midpoint,half_07_A,7,0.5,A,0.6,"[16, 19, 0, 15, 17, 18, 21, 22, 20, 2, 6, 8]"
