method,run,fraction,size,empty
lasso_pair_q20,half_20_A,0.5,0,True
linear_orbit_student,half_20_A,0.5,0,True
xgb_naive,half_20_A,0.5,13,False
xgb_midpoint,half_20_A,0.5,11,False
xgb_orbit,half_20_A,0.5,12,False
xgb_orbit_student,half_20_A,0.5,6,False
tabm_naive,half_20_A,0.5,0,True
tabm_midpoint,half_20_A,0.5,0,True
tabm_orbit,half_20_A,0.5,0,True
tabm_orbit_student,half_20_A,0.5,0,True
lasso_pair_q20,half_20_B,0.5,0,True
linear_orbit_student,half_20_B,0.5,6,False
xgb_naive,half_20_B,0.5,0,True
xgb_midpoint,half_20_B,0.5,0,True
xgb_orbit,half_20_B,0.5,5,False
xgb_orbit_student,half_20_B,0.5,0,True
tabm_naive,half_20_B,0.5,5,False
tabm_midpoint,half_20_B,0.5,0,True
tabm_orbit,half_20_B,0.5,5,False
tabm_orbit_student,half_20_B,0.5,6,False
lasso_pair_q20,half_21_A,0.5,0,True
linear_orbit_student,half_21_A,0.5,6,False
xgb_naive,half_21_A,0.5,0,True
xgb_midpoint,half_21_A,0.5,0,True
xgb_orbit,half_21_A,0.5,0,True
xgb_orbit_student,half_21_A,0.5,6,False
tabm_naive,half_21_A,0.5,0,True
tabm_midpoint,half_21_A,0.5,0,True
tabm_orbit,half_21_A,0.5,0,True
tabm_orbit_student,half_21_A,0.5,0,True
lasso_pair_q20,half_21_B,0.5,7,False
linear_orbit_student,half_21_B,0.5,8,False
xgb_naive,half_21_B,0.5,0,True
xgb_midpoint,half_21_B,0.5,0,True
xgb_orbit,half_21_B,0.5,0,True
xgb_orbit_student,half_21_B,0.5,0,True
tabm_naive,half_21_B,0.5,0,True
tabm_midpoint,half_21_B,0.5,0,True
tabm_orbit,half_21_B,0.5,0,True
tabm_orbit_student,half_21_B,0.5,0,True
lasso_pair_q20,half_22_A,0.5,6,False
linear_orbit_student,half_22_A,0.5,0,True
xgb_naive,half_22_A,0.5,5,False
xgb_midpoint,half_22_A,0.5,5,False
xgb_orbit,half_22_A,0.5,0,True
xgb_orbit_student,half_22_A,0.5,11,False
tabm_naive,half_22_A,0.5,0,True
tabm_midpoint,half_22_A,0.5,0,True
tabm_orbit,half_22_A,0.5,0,True
tabm_orbit_student,half_22_A,0.5,5,False
lasso_pair_q20,half_22_B,0.5,10,False
linear_orbit_student,half_22_B,0.5,8,False
xgb_naive,half_22_B,0.5,0,True
xgb_midpoint,half_22_B,0.5,0,True
xgb_orbit,half_22_B,0.5,0,True
xgb_orbit_student,half_22_B,0.5,0,True
tabm_naive,half_22_B,0.5,0,True
tabm_midpoint,half_22_B,0.5,0,True
tabm_orbit,half_22_B,0.5,0,True
tabm_orbit_student,half_22_B,0.5,11,False
lasso_pair_q20,half_23_A,0.5,0,True
linear_orbit_student,half_23_A,0.5,0,True
xgb_naive,half_23_A,0.5,0,True
xgb_midpoint,half_23_A,0.5,0,True
xgb_orbit,half_23_A,0.5,0,True
xgb_orbit_student,half_23_A,0.5,0,True
tabm_naive,half_23_A,0.5,0,True
tabm_midpoint,half_23_A,0.5,0,True
tabm_orbit,half_23_A,0.5,0,True
tabm_orbit_student,half_23_A,0.5,0,True
lasso_pair_q20,half_23_B,0.5,0,True
linear_orbit_student,half_23_B,0.5,0,True
xgb_naive,half_23_B,0.5,0,True
xgb_midpoint,half_23_B,0.5,0,True
xgb_orbit,half_23_B,0.5,0,True
xgb_orbit_student,half_23_B,0.5,0,True
tabm_naive,half_23_B,0.5,11,False
tabm_midpoint,half_23_B,0.5,10,False
tabm_orbit,half_23_B,0.5,10,False
tabm_orbit_student,half_23_B,0.5,0,True
lasso_pair_q20,half_24_A,0.5,0,True
linear_orbit_student,half_24_A,0.5,0,True
xgb_naive,half_24_A,0.5,0,True
xgb_midpoint,half_24_A,0.5,0,True
xgb_orbit,half_24_A,0.5,0,True
xgb_orbit_student,half_24_A,0.5,0,True
tabm_naive,half_24_A,0.5,0,True
tabm_midpoint,half_24_A,0.5,0,True
tabm_orbit,half_24_A,0.5,0,True
tabm_orbit_student,half_24_A,0.5,0,True
lasso_pair_q20,half_24_B,0.5,5,False
linear_orbit_student,half_24_B,0.5,0,True
xgb_naive,half_24_B,0.5,0,True
xgb_midpoint,half_24_B,0.5,0,True
xgb_orbit,half_24_B,0.5,0,True
xgb_orbit_student,half_24_B,0.5,0,True
tabm_naive,half_24_B,0.5,0,True
tabm_midpoint,half_24_B,0.5,0,True
tabm_orbit,half_24_B,0.5,0,True
tabm_orbit_student,half_24_B,0.5,0,True
lasso_pair_q20,half_25_A,0.5,11,False
linear_orbit_student,half_25_A,0.5,10,False
xgb_naive,half_25_A,0.5,0,True
xgb_midpoint,half_25_A,0.5,0,True
xgb_orbit,half_25_A,0.5,0,True
xgb_orbit_student,half_25_A,0.5,0,True
tabm_naive,half_25_A,0.5,5,False
tabm_midpoint,half_25_A,0.5,0,True
tabm_orbit,half_25_A,0.5,0,True
tabm_orbit_student,half_25_A,0.5,0,True
lasso_pair_q20,half_25_B,0.5,0,True
linear_orbit_student,half_25_B,0.5,5,False
xgb_naive,half_25_B,0.5,0,True
xgb_midpoint,half_25_B,0.5,5,False
xgb_orbit,half_25_B,0.5,5,False
xgb_orbit_student,half_25_B,0.5,0,True
tabm_naive,half_25_B,0.5,10,False
tabm_midpoint,half_25_B,0.5,10,False
tabm_orbit,half_25_B,0.5,10,False
tabm_orbit_student,half_25_B,0.5,7,False
lasso_pair_q20,half_26_A,0.5,6,False
linear_orbit_student,half_26_A,0.5,0,True
xgb_naive,half_26_A,0.5,0,True
xgb_midpoint,half_26_A,0.5,0,True
xgb_orbit,half_26_A,0.5,0,True
xgb_orbit_student,half_26_A,0.5,0,True
tabm_naive,half_26_A,0.5,0,True
tabm_midpoint,half_26_A,0.5,0,True
tabm_orbit,half_26_A,0.5,0,True
tabm_orbit_student,half_26_A,0.5,0,True
lasso_pair_q20,half_26_B,0.5,8,False
linear_orbit_student,half_26_B,0.5,0,True
xgb_naive,half_26_B,0.5,0,True
xgb_midpoint,half_26_B,0.5,0,True
xgb_orbit,half_26_B,0.5,0,True
xgb_orbit_student,half_26_B,0.5,0,True
